,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
0,355,,,,,,
1,264,1.0,Student Services Coordinator,2019.0,2020.0,9.0,7.0
2,264,2.0,Information Design and Data Analytics Intern,2023.0,2024.0,2.0,1.0
3,264,3.0,English Teaching Assistant,2018.0,2019.0,10.0,5.0
4,725,,,,,,
5,442,4.0,"IT Business Analyst, IT Business Services",2021.0,2021.0,1.0,4.0
6,442,5.0,Operations Intern,2020.0,2020.0,5.0,12.0
7,442,6.0,Financial Business Analyst,2019.0,2019.0,9.0,12.0
8,442,7.0,Analyst,2022.0,2022.0,9.0,12.0
9,442,8.0,"Business & Data Analyst, Financial Services",2021.0,2022.0,9.0,4.0
10,602,9.0,,2023.0,2023.0,1.0,4.0
11,602,10.0,Data Analyst,2020.0,,6.0,
12,602,11.0,Data Engineer,2008.0,2012.0,6.0,10.0
13,754,12.0,Associate HR,2016.0,2017.0,5.0,6.0
14,754,13.0,Associate - Data Analytics,2017.0,2019.0,10.0,9.0
15,754,14.0,Assistant Manager Data Analytics,2020.0,2023.0,11.0,4.0
16,754,13.0,Sr.Associate - Data Analytics,2019.0,2020.0,10.0,10.0
17,96,15.0,Data Analyst,2023.0,,6.0,
18,96,16.0,Consultant,2021.0,2022.0,5.0,12.0
19,96,17.0,BI Developer,2017.0,2021.0,8.0,5.0
20,572,18.0,POWER BI ANALYST,2022.0,2023.0,10.0,10.0
21,687,19.0,Business Analyst,2022.0,2022.0,5.0,8.0
22,687,20.0,Business Development Representative,2023.0,2023.0,5.0,9.0
23,687,21.0,Customer Service Representative,2022.0,,1.0,
24,687,22.0,Data Analyst,2021.0,2021.0,5.0,8.0
25,536,23.0,Data Analyst,2022.0,2022.0,1.0,5.0
26,536,24.0,Teaching Assistant,2022.0,2022.0,9.0,12.0
27,536,24.0,Departmental Research Assistant,2021.0,2022.0,11.0,1.0
28,536,25.0,Business Technology Analyst,2023.0,2023.0,9.0,12.0
29,536,26.0,Healthcare Analyst,2022.0,2022.0,1.0,5.0
30,536,27.0,Head Teaching Assistant,2019.0,2019.0,5.0,8.0
31,445,28.0,Business Analyst,2019.0,2022.0,6.0,4.0
32,445,29.0,Project Coordinator Co-op,2023.0,2023.0,9.0,12.0
33,445,28.0,INTERN,2018.0,2018.0,5.0,7.0
34,461,30.0,Data Engineer,2021.0,2023.0,5.0,10.0
35,461,31.0,Content Database Coordinator,2019.0,2019.0,5.0,8.0
36,461,31.0,Computer Science Lab Monitor & BYOD Linux Support,2018.0,2019.0,9.0,4.0
37,461,31.0,Web and Digital Media Assistant,2019.0,2019.0,9.0,12.0
38,461,30.0,Data Engineer Co-op,2020.0,2020.0,1.0,12.0
39,461,32.0,Junior Web Developer,2017.0,2017.0,5.0,8.0
40,457,,,,,,
41,616,33.0,Senior Business Analyst,2016.0,2021.0,12.0,8.0
42,616,34.0,Business Analyst,2012.0,2014.0,6.0,3.0
43,616,35.0,Business Analyst,2014.0,2016.0,4.0,11.0
44,542,36.0,Data Analyst,2017.0,2019.0,7.0,8.0
45,542,37.0,Business System Analyst,2016.0,2017.0,5.0,7.0
46,740,,,,,,
47,662,38.0,IT Project Manager,2017.0,2023.0,7.0,5.0
48,662,39.0,Engineer,2016.0,2016.0,2.0,7.0
49,662,40.0,Junior Market Risk Analyst,2017.0,2017.0,1.0,7.0
50,662,41.0,Pre-Engineer,2015.0,2015.0,7.0,9.0
51,662,42.0,Bilingual Project Coordinator,2024.0,,2.0,
52,662,43.0,Bilingual Customer service Representative,2023.0,2024.0,7.0,2.0
53,223,44.0,Operations Analyst,2021.0,2021.0,1.0,11.0
54,223,45.0,Associate- Risk Analytics,2021.0,2023.0,12.0,9.0
55,650,46.0,Data Analyst,2023.0,,7.0,
56,650,47.0,Business Intelligence Analyst,2020.0,2021.0,1.0,12.0
57,551,48.0,Customer Service Manager,2022.0,,5.0,
58,473,49.0,Senior Engineer: Cloud & Infra Services,2018.0,2022.0,5.0,8.0
59,574,50.0,BI Developer,2022.0,2023.0,9.0,12.0
60,574,51.0,Data Analyst,2020.0,2020.0,4.0,9.0
61,574,52.0,Technology Project Delivery Associate,2021.0,2022.0,5.0,9.0
62,120,53.0,Executive BI,2020.0,2021.0,6.0,7.0
63,120,54.0,Associate DWH and Power BI Engineer,2017.0,2020.0,1.0,1.0
64,120,55.0,Sr BI and DB Developer,2022.0,,8.0,
65,70,56.0,"Data Analyst, Reporting",2023.0,2023.0,4.0,9.0
66,774,57.0,Business Process Analyst,2022.0,2022.0,1.0,4.0
67,774,58.0,Supply Chain Analyst,2021.0,2021.0,5.0,8.0
68,774,59.0,Data Automation Co-op,2022.0,2022.0,9.0,12.0
69,431,54.0,Consultant,2015.0,2015.0,7.0,8.0
70,431,60.0,Data Analyst,2017.0,2023.0,8.0,3.0
71,352,61.0,Data Analyst,2022.0,2023.0,4.0,9.0
72,565,62.0,Senior Software Engineer,2019.0,2021.0,7.0,12.0
73,565,63.0,Data Analyst,2023.0,,8.0,
74,561,64.0,Data Analyst,2022.0,,5.0,
75,561,65.0,Health Planning & Performance Analyst,2020.0,2020.0,1.0,12.0
76,561,66.0,Data Engineer,2023.0,,,
77,561,67.0,Data and Research Specialist,2019.0,2022.0,10.0,5.0
78,15,68.0,Sr. BI Analyst,2022.0,,12.0,
79,15,69.0,SQL BI Developer,2019.0,2020.0,2.0,1.0
80,15,70.0,Power BI Analyst,2020.0,2022.0,2.0,11.0
81,581,71.0,Data Engineer,2018.0,2023.0,6.0,1.0
82,581,72.0,Software Developer,2018.0,2018.0,4.0,5.0
83,581,73.0,Software Developer,2017.0,2018.0,10.0,3.0
84,722,74.0,DENTIST,2012.0,2015.0,11.0,10.0
85,722,75.0,Provider Data Specialist,2018.0,2018.0,1.0,2.0
86,249,76.0,Data Engineer Associate Manager/Analytics,2021.0,2022.0,5.0,7.0
87,249,77.0,Handler,2022.0,,11.0,
88,249,76.0,Data Engineering Team Leader,2015.0,2021.0,5.0,5.0
89,249,78.0,Business Intelligence Analyst,2023.0,2023.0,4.0,9.0
90,249,79.0,Consultant,2011.0,2015.0,5.0,5.0
91,138,80.0,Technical Account Manager,2019.0,,8.0,
92,138,81.0,Co-Founder,2019.0,,2.0,
93,138,82.0,Application Support Analyst,2017.0,2019.0,10.0,1.0
94,138,83.0,Business Intelligence Analyst,2022.0,2022.0,6.0,10.0
95,138,84.0,IT Support Analyst,2017.0,2018.0,9.0,10.0
96,751,85.0,,2022.0,2022.0,2.0,8.0
97,751,86.0,Business System Analyst,2019.0,2020.0,6.0,12.0
98,751,87.0,Software Engineer,2014.0,2018.0,4.0,4.0
99,751,88.0,Senior Software Engineer,2018.0,2019.0,6.0,5.0
100,751,89.0,Quality and Reporting Analyst,2023.0,,10.0,
101,751,90.0,Business Technology Analyst,2023.0,2023.0,1.0,9.0
102,391,91.0,Data Analyst,2022.0,,10.0,
103,391,92.0,Power BI Specialist,2020.0,2022.0,11.0,4.0
104,757,93.0,BUSINESS ANALYST,2019.0,2023.0,11.0,5.0
105,757,94.0,SENIOR BUSINESS ANALYST,2023.0,,10.0,
106,757,95.0,BUSINESS ANALYST,2014.0,2018.0,1.0,3.0
107,757,96.0,BUSINESS ANALYST,2018.0,2019.0,5.0,12.0
108,644,97.0,Clinical Data Analyst,2019.0,2021.0,,
109,644,98.0,Senior Clinical Data Manager,2021.0,2022.0,,
110,770,99.0,Marketplace Management Intern,2020.0,2021.0,12.0,2.0
111,770,100.0,Business Development Analyst,2021.0,2022.0,12.0,8.0
112,770,101.0,Business Data Analyst,2023.0,2023.0,5.0,7.0
113,762,102.0,Data Analyst,2021.0,,2.0,
114,762,103.0,Reporting Analyst,2019.0,2020.0,6.0,12.0
115,11,104.0,Data Analyst,2022.0,,8.0,
116,179,105.0,BI and Data Engineer,2018.0,2020.0,1.0,4.0
117,179,106.0,Data Engineer,2022.0,,5.0,
118,179,107.0,Azure Cloud and MSBI Developer,2020.0,2021.0,5.0,4.0
119,502,108.0,Jr Cloud and MSBI Developer,2019.0,2020.0,3.0,3.0
120,502,109.0,Sr. BI and Azure Developer,2022.0,,5.0,
121,502,110.0,Azure and BI Engineer,2020.0,2022.0,3.0,4.0
122,160,111.0,"Consultant, Enterprise Data Analytics",2021.0,2023.0,12.0,8.0
123,160,112.0,"Business Analyst, Analytics",2021.0,2021.0,8.0,12.0
124,397,113.0,Data Analyst,2019.0,2021.0,4.0,2.0
125,397,114.0,Technical Support Agent,2022.0,2022.0,2.0,9.0
126,548,115.0,BUSINESS INTELLIGENCE AND REPORTING ANALYST III,2019.0,2021.0,12.0,4.0
127,548,116.0,BUSINESS INTELLIGENCE SPECIALIST,2022.0,,10.0,
128,548,111.0,"SENIOR ANALYST, BUSINESS INTELLIGENCE",2021.0,2022.0,5.0,10.0
129,553,117.0,Business Analyst,2021.0,2023.0,5.0,5.0
130,553,118.0,,2018.0,2018.0,6.0,8.0
131,553,119.0,Customer Service Representative,2023.0,2023.0,6.0,9.0
132,553,120.0,Education Consultant Assistant,2017.0,2017.0,7.0,8.0
133,553,121.0,"Account Executive, CRM Team",2019.0,2021.0,8.0,3.0
134,553,122.0,Trilingual Cards Advisor,2023.0,,9.0,
135,783,123.0,Automation Engineer,2014.0,2015.0,11.0,12.0
136,783,124.0,Data Analyst,2022.0,,11.0,
137,783,69.0,Data Analyst,2016.0,2019.0,1.0,3.0
138,783,125.0,Alarm Monitor Engineer,2013.0,2014.0,12.0,10.0
139,783,126.0,Data Analyst,2019.0,2021.0,3.0,5.0
140,439,127.0,,2016.0,2018.0,3.0,8.0
141,439,128.0,SAP Data Analyst,2021.0,2023.0,8.0,8.0
142,256,,,,,,
143,666,129.0,Analytics & Insights Manager,2021.0,2023.0,5.0,7.0
144,666,130.0,Analyst,2021.0,2021.0,1.0,4.0
145,666,131.0,Engineering Research Intern,2017.0,2018.0,5.0,4.0
146,456,132.0,ASSOCIATE,2018.0,2019.0,5.0,8.0
147,456,133.0,FINANCIAL ANALYST - PLANNING,2019.0,2022.0,9.0,3.0
148,417,134.0,Home Solution Advisor,2023.0,,10.0,
149,417,135.0,IT Specialist,2022.0,2023.0,10.0,4.0
150,417,136.0,Data Analyst,2021.0,2022.0,3.0,3.0
151,414,137.0,Business Analyst,2010.0,2011.0,,
152,414,138.0,Retail Merchandiser,2022.0,,,
153,414,139.0,Senior Business Analyst,2013.0,2016.0,,
154,414,140.0,,2017.0,2018.0,,
155,414,114.0,Business Analyst Rep. Associate - Advertising,2021.0,2022.0,,
156,414,141.0,,2019.0,2020.0,,
157,414,142.0,Business Analyst/Process Re-Engineering - Blue,2012.0,2013.0,,
158,8,143.0,Data Engineer,2020.0,2023.0,9.0,2.0
159,8,144.0,Azure/AWS Data Engineer,2023.0,,4.0,
160,8,145.0,Data Engineer,2018.0,2020.0,1.0,9.0
161,307,102.0,Data Engineer,2022.0,2023.0,8.0,9.0
162,307,146.0,Software Development Engineer,2022.0,2022.0,9.0,12.0
163,307,147.0,Machine Learning and Data Scientist,2022.0,2022.0,7.0,9.0
164,462,148.0,Business Analyst,2019.0,,5.0,
165,462,149.0,Strategy Consultant - Data Analytics,2016.0,2017.0,6.0,10.0
166,462,150.0,Custom Marketing Research Consulting Analyst,2015.0,2015.0,6.0,12.0
167,462,151.0,Accounting Specialist,2012.0,2014.0,1.0,4.0
