,Candidate Deidentified ID,Education College Deidentified ID,Education Degree Name,Education Degree Type,Education Major,Education Start Date,Education End Date
1222,703,541.0,Bachelor of Computer Sciences,None,,,
452,79,14.0,Bachelor of Science,Bachelor,Applied Statics and Economic,2017-09,2021-06
1386,580,610.0,Master of Business Administration,Master,Financial Services,,
668,280,,,,,,
1210,759,536.0,Scholarship,None,,2016,2019
405,46,85.0,Bachelor of Commerce,Bachelor,,2019-09,2023-04
460,603,14.0,Bachelor of Science,Bachelor,Statistics,2018,2022
549,647,290.0,Certified Associate,None,,,
226,468,,,,,,
771,116,388.0,Bachelor of Science,Bachelor,Economics,,
100,462,35.0,Bachelor of Business Administration,Bachelor,Finance,,
256,199,148.0,"Bachelor of Management , and Organizational Studies",None,Accounting,2017-09,2021-10
754,412,309.0,Bachelor of Education,None,Special Education and Teaching,2008-06,2014-04
695,122,37.0,Bachelor of Science,Bachelor,Finance,,
495,315,261.0,Post-Graduate Diploma,None,Marketing Management,2020-07,2021-08
1348,713,592.0,Bachelor of Pharmacy,Bachelor,,,
1331,671,583.0,Bachelor of Computer Sciences,None,,,
508,257,269.0,Advanced Data Analytics Certificate,None,,,
607,398,316.0,,None,,notKnown,1984-04
1083,134,495.0,B.S,Bachelor,,,
843,734,74.0,Bachelor,None,Computer Engineering,,
1429,228,424.0,Bachelor of Technology,None,Computer Science Engineering,,
184,51,121.0,"Economic Analyst, Financial Report",None,,2020-09,2021-11
1173,156,,,,,,
644,685,103.0,Masters Degree,None,Business Analytics,2018-08,2020-02
1374,726,605.0,Bachelor of Technology,None,Computer Science & Engineering,2014,2018
1408,474,7.0,Master,None,Applied Manufacturing Management,,
723,746,366.0,professional certification,None,,,
785,298,393.0,Post Graduate Program,None,"Data Science, Business Analytics",2020-02,2021-04
153,202,7.0,POST GRADUATION CERTIFICATE PROGRAM,None,,2020-05,2021-12
425,623,231.0,Bachelors of Arts,None,Philosophy,,
448,496,243.0,Bachelors,None,Technology,,
769,97,235.0,Post-Graduate Diploma,None,"Information, Technology",,
829,491,31.0,Bachelor of Commerce,Bachelor,Finance,,
978,80,463.0,Bachelors Degree,None,,2013,2017
687,85,115.0,Master of Systems,None,Science & Engineering,2021-09-10,2023-01
266,631,,,,,,
1239,464,552.0,Bachelor of Engineering,Bachelor,,2012-08,2016-04
617,555,326.0,M.Sc.,Master,Environmental Science and Technology,,
403,724,17.0,Post-Graduate Diploma,None,Applied Statistics,2015,2016
371,721,206.0,Bachelors Degree,None,Computer Science and Engineering,2012-08,2016-06
501,654,265.0,Master of Science,Master,INTERNATIONAL HUMAN RESOURCES MANAGEMENT,,
583,494,57.0,Masters Degree,None,Computer Science,2021-09,2023-05
176,10,51.0,Master of Science,Master,"Management, Business Analytics",,
1035,57,474.0,Deloitte Technology Consulting Experience Certificate,None,,,
19,445,17.0,Bachelors Degree,None,Banking and Insurance,2016-04,2019-04
1233,83,550.0,Master of Science,Master,Management Information Systems,,
774,593,185.0,Masters Degree,None,Marketing,2021,2023
1214,759,110.0,Master of Science,Master,,2012,2015
232,434,,,,,,
971,658,460.0,Bachelor of Technology,None,Computer Science and Engineering,2016-08,2020-06
753,110,382.0,Bachelor of Science - Business Administration,None,,,
1431,203,46.0,Diploma,None,Marketing Management,2019-09,2020-03
1334,638,85.0,Bachelor of Arts,Bachelor,Economics and Finance,,
375,419,35.0,Masters Degree,None,,2023-01,2023-08
492,55,260.0,Bachelor of Technology,None,Computer Science,2017-05,2021-05
447,739,242.0,Bachelor of Engineering (B.E.),None,,,
770,191,387.0,Bachelor of Technology,None,Biotechnology,2016-07,2020-06
