,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
258,48,119.0,E - Government Researcher,2017.0,2017.0,5.0,9.0
343,53,138.0,Customer Service Consultant,2019.0,2020.0,1.0,11.0
623,104,250.0,General Labourer,2016.0,2016.0,7.0,8.0
316,51,128.0,Project Engineer,2007.0,2009.0,8.0,7.0
726,124,290.0,Physics Assistant,2019.0,2019.0,1.0,4.0
268,48,117.0,Program Assistant,2019.0,2020.0,11.0,2.0
602,102,227.0,Data Analyst,2019.0,2021.0,4.0,6.0
691,116,275.0,Information and Informatics Manager - R&D Center,2007.0,2011.0,8.0,12.0
768,131,309.0,Analyst - Risk Management Services,2016.0,2021.0,8.0,5.0
140,24,59.0,Data Analyst,2017.0,2017.0,7.0,12.0
508,87,207.0,Data Analyst,2022.0,,3.0,
579,98,,,,,,
178,31,76.0,System Analyst,2016.0,2022.0,12.0,7.0
88,14,37.0,Dispatcher,2022.0,2023.0,11.0,4.0
763,131,308.0,Technical Support Consultant,2022.0,,4.0,
619,104,248.0,,2020.0,2020.0,8.0,9.0
150,26,65.0,Systems Analyst,2011.0,2013.0,1.0,2.0
175,30,74.0,Database Administrator,2020.0,2022.0,5.0,9.0
207,38,92.0,BI Analyst,2018.0,2021.0,2.0,2.0
342,53,137.0,Senior Marketing Manager,2009.0,2011.0,8.0,1.0
512,88,209.0,,2018.0,2020.0,10.0,1.0
665,112,270.0,IT and SEO Analyst,2018.0,2020.0,5.0,11.0
788,133,318.0,Digital Marketing Specialist,2018.0,2018.0,6.0,9.0
235,46,112.0,Data Analyst,2017.0,2019.0,4.0,4.0
146,26,62.0,Graduate Research Assistant,2019.0,2021.0,1.0,4.0
297,50,124.0,Data Analyst,2023.0,,3.0,
719,120,,,,,,
756,129,305.0,junior BI Developer,2016.0,2017.0,1.0,9.0
287,48,117.0,HR Data Assistant,2022.0,2022.0,1.0,7.0
288,48,117.0,Program Assistant,2019.0,2020.0,11.0,2.0
748,128,301.0,INVESTMENT BACK OFFiCE ACCOUNTANT,2011.0,2012.0,9.0,12.0
154,27,66.0,BI Developer,2020.0,2022.0,12.0,2.0
40,5,19.0,Senior Associate Consultant,2012.0,2017.0,6.0,2.0
781,132,312.0,Assistant Marketing Manager,2016.0,2018.0,10.0,2.0
616,104,251.0,,2020.0,2022.0,9.0,6.0
424,68,171.0,SENIOR BUSINESS ANALYST,2020.0,2021.0,3.0,12.0
651,110,263.0,Executive Assistant,2018.0,2020.0,10.0,12.0
624,104,251.0,,2020.0,2022.0,9.0,6.0
352,53,135.0,Insurance Advisor,2021.0,2021.0,5.0,10.0
744,128,300.0,CREDiT ANALYST,2013.0,2015.0,1.0,3.0
391,59,154.0,Financial Analyst,2021.0,2021.0,6.0,6.0
77,14,37.0,Dispatcher,2022.0,2023.0,11.0,4.0
559,90,39.0,"Manager, VBA Applications",2015.0,2016.0,1.0,3.0
662,112,268.0,Data Analyst,2022.0,,9.0,
120,22,53.0,Strategic Business Analyst,2019.0,2020.0,,
742,128,298.0,CUSTOMER RELATiONSHiP MANAGER,2008.0,2011.0,7.0,8.0
261,48,115.0,Online Adjunct Faculty,2017.0,2019.0,,
245,48,117.0,HR Data Assistant,2022.0,2022.0,1.0,7.0
33,4,15.0,Programmer Analyst,2017.0,2019.0,11.0,12.0
541,88,208.0,Forecast and Replenishment Analyst,2010.0,2015.0,1.0,9.0
408,63,163.0,Power BI Developer,2017.0,2019.0,6.0,12.0
536,88,208.0,Forecast and Replenishment Analyst,2010.0,2015.0,1.0,9.0
725,123,289.0,SQL Developer,2019.0,2019.0,6.0,11.0
217,42,100.0,Sales / Project Manager,2015.0,2019.0,5.0,2.0
520,88,210.0,Senior Business Analyst,2021.0,2024.0,7.0,5.0
250,48,117.0,,2016.0,2016.0,8.0,11.0
284,48,116.0,Course and Curriculum Developer - Business,2014.0,2017.0,,
312,50,124.0,Data Analyst,2023.0,,3.0,
34,4,16.0,Software Engineer,2014.0,2015.0,5.0,12.0
540,88,210.0,Senior Business Analyst,2021.0,2024.0,7.0,5.0
47,5,22.0,Business Intelligence Analyst,2019.0,,7.0,
187,33,81.0,Analyst,2005.0,2018.0,,
393,60,156.0,Data Analyst,2018.0,2021.0,8.0,4.0
377,57,150.0,Business Analyst,2021.0,2022.0,7.0,7.0
115,20,50.0,CASH RECONCILIATION INTERN,2018.0,2018.0,5.0,12.0
198,35,90.0,Senior Analyst,2014.0,2015.0,6.0,4.0
238,48,114.0,Advisor,2017.0,2017.0,3.0,4.0
733,127,294.0,,2019.0,2019.0,9.0,12.0
793,133,317.0,Business Intelligence Consultant,2018.0,2020.0,10.0,1.0
401,62,159.0,PROGRAMMER,2012.0,2012.0,5.0,11.0
280,48,117.0,,2015.0,2015.0,3.0,9.0
131,23,56.0,Broadcast Viewer Support,2019.0,2020.0,8.0,4.0
157,27,67.0,BI Developer,2022.0,,2.0,
356,54,142.0,Category Analyst,2013.0,2017.0,3.0,3.0
230,45,108.0,Project Research Manager,2021.0,2021.0,1.0,1.0
450,75,181.0,Business Analyst,2021.0,2021.0,1.0,7.0
186,32,78.0,BI Developer,2017.0,2019.0,12.0,7.0
204,37,91.0,BI Analyst,2020.0,,3.0,
221,43,102.0,Business Analyst,2016.0,2018.0,10.0,10.0
367,54,144.0,Integrated Marketing Analyst,2020.0,2020.0,3.0,12.0
357,54,143.0,Marketing & Sales Operations Analyst,2019.0,2019.0,1.0,8.0
539,88,208.0,Business Operations Analyst,2016.0,2018.0,11.0,10.0
99,16,42.0,Data Engineer,2015.0,2018.0,7.0,4.0
808,137,326.0,Business Intelligence Analyst,2017.0,2021.0,8.0,9.0
96,15,40.0,Data Analyst,2021.0,,10.0,
776,132,312.0,Assistant Marketing Manager,2016.0,2018.0,10.0,2.0
799,134,321.0,Data Analyst,2018.0,2019.0,1.0,4.0
394,60,157.0,Data Analyst,2018.0,2018.0,2.0,6.0
306,50,126.0,Data Analyst Consultant,2021.0,2023.0,10.0,2.0
214,41,97.0,SQL SSRS/SSIS Developer,2018.0,2020.0,8.0,6.0
762,131,308.0,Technical Support Consultant,2022.0,,4.0,
601,102,242.0,Data Analyst,2021.0,,7.0,
402,62,160.0,DATA ANALYST,2018.0,,2.0,
46,5,21.0,Business Analyst,2018.0,2019.0,6.0,6.0
567,92,224.0,Senior Performance Analyst,2018.0,2021.0,11.0,6.0
44,5,22.0,Business Intelligence Analyst,2019.0,,7.0,
590,99,233.0,Senior Business Analyst,2016.0,2017.0,11.0,12.0
671,112,270.0,IT and SEO Analyst,2018.0,2020.0,5.0,11.0
661,112,267.0,Wireless Engineer,2017.0,2018.0,3.0,4.0
415,64,16.0,Sap Business Intelligence,2016.0,2019.0,7.0,8.0
345,53,134.0,Credit Card Analyst,2022.0,,2.0,
387,59,154.0,Financial Analyst,2015.0,2021.0,5.0,6.0
119,22,52.0,Business Analytics Intern,2018.0,2018.0,,
636,107,259.0,Research Analyst,2016.0,2016.0,4.0,9.0
19,2,8.0,Oracle Developer,2011.0,2012.0,7.0,3.0
404,63,104.0,Power BI Developer,2020.0,2021.0,4.0,10.0
565,92,222.0,Associate Marketing Analyst,2022.0,2022.0,5.0,8.0
382,57,148.0,Business Analyst,2019.0,2021.0,9.0,6.0
625,104,251.0,,2020.0,2022.0,9.0,6.0
653,110,264.0,Product Specialist,2020.0,2022.0,12.0,7.0
528,88,208.0,Customer Service Supervisor,2004.0,2010.0,6.0,1.0
466,80,189.0,Sr RF Analyst,2015.0,2017.0,7.0,8.0
164,27,68.0,MSBI Developer,2018.0,2019.0,5.0,11.0
759,130,306.0,Data Analytics Engineer,2020.0,2021.0,7.0,10.0
108,19,46.0,Project Analyst,2014.0,2015.0,10.0,5.0
654,110,264.0,Product Specialist,2020.0,2022.0,12.0,7.0
620,104,251.0,,2020.0,2022.0,9.0,6.0
347,53,139.0,Business Data Analyst,2022.0,,3.0,
427,69,172.0,Data Analyst,2021.0,,3.0,
524,88,208.0,Business Operations Analyst,2016.0,2018.0,11.0,10.0
259,48,121.0,Management Database Developer,2017.0,2018.0,,
20,2,8.0,Oracle Developer,2012.0,2013.0,4.0,5.0
177,31,76.0,System Analyst,2016.0,2022.0,12.0,7.0
750,128,300.0,CREDiT ANALYST,2013.0,2015.0,1.0,3.0
729,126,,,,,,
809,137,324.0,Logistics and Sales Intern,2014.0,2014.0,5.0,7.0
165,27,66.0,BI Developer,2020.0,2022.0,12.0,2.0
323,51,107.0,Senior Analyst,2017.0,2018.0,2.0,6.0
354,53,137.0,Senior Marketing Manager,2009.0,2011.0,8.0,1.0
313,51,107.0,Senior Analyst,2017.0,2018.0,2.0,6.0
310,50,127.0,Project manager assistant,2019.0,2020.0,3.0,4.0
98,16,42.0,Lead Data Engineer,2018.0,2020.0,4.0,1.0
463,79,104.0,Data Analyst,2021.0,,1.0,
465,80,188.0,RF Analyst,2013.0,2015.0,7.0,8.0
704,118,282.0,Regional Supply Chain Analyst,2021.0,2021.0,10.0,11.0
37,4,18.0,IT Systems Analyst,2019.0,2020.0,12.0,12.0
568,93,225.0,Data Analyst,2020.0,2021.0,11.0,12.0
732,127,293.0,Data Analyst,2021.0,2022.0,9.0,8.0
515,88,210.0,Senior Business Analyst,2021.0,2024.0,7.0,5.0
497,86,203.0,Database Analyst,2017.0,2018.0,1.0,6.0
699,116,276.0,Pitney Bowes Company Product Data Analyst,2017.0,2020.0,7.0,7.0
51,7,25.0,Data Analyst,2018.0,2018.0,7.0,9.0
126,22,19.0,Test Engineer,2014.0,2017.0,,
436,73,,,,,,
641,108,153.0,Process Manager,2021.0,2021.0,2.0,9.0
133,24,58.0,Senior Data Analyst,2018.0,2019.0,2.0,6.0
104,17,44.0,Self Employed,2019.0,2021.0,1.0,7.0
513,88,210.0,Senior Business Analyst,2021.0,2024.0,7.0,5.0
807,137,326.0,Business Intelligence Analyst,2017.0,2021.0,8.0,9.0
73,14,36.0,Tutor,2019.0,2020.0,9.0,12.0
363,54,143.0,Marketing & Sales Operations Analyst,2019.0,2019.0,1.0,8.0
255,48,116.0,Course and Curriculum Developer - Business,2014.0,2017.0,,
760,130,307.0,Data Analyst,2017.0,2018.0,10.0,7.0
585,99,234.0,Business Systems Analyst,2020.0,2022.0,2.0,1.0
30,3,12.0,Business Analyst,2022.0,2022.0,5.0,9.0
563,91,,,,,,
23,2,10.0,Sr. OBIEE Developer,2017.0,2020.0,11.0,3.0
2,1,3.0,Research Analyst,2016.0,2016.0,4.0,5.0
136,24,58.0,Senior Data Analyst,2018.0,2019.0,2.0,6.0
283,48,118.0,,2010.0,2012.0,,
1,1,2.0,Analyst,2017.0,2019.0,11.0,9.0
588,99,232.0,Business Systems Analyst,2018.0,2018.0,1.0,10.0
269,48,118.0,,2010.0,2012.0,,
443,75,180.0,Graduate Research Assistant,2017.0,2018.0,1.0,6.0
328,51,107.0,Senior Analyst,2012.0,2018.0,8.0,6.0
374,56,149.0,Power BI developer,2020.0,,8.0,
433,71,174.0,Contractor,2023.0,,3.0,
632,106,256.0,Consultant,2020.0,2022.0,7.0,2.0
385,59,153.0,,2022.0,2022.0,2.0,2.0
682,113,231.0,Power BI Developer,2021.0,,6.0,
514,88,208.0,Business Operations Analyst,2016.0,2018.0,11.0,10.0
473,81,172.0,Customer Service Representative,2018.0,2019.0,12.0,5.0
441,75,178.0,Data Analyst,2020.0,2020.0,3.0,8.0
196,35,88.0,Business Analyst,2015.0,2018.0,4.0,9.0
448,75,177.0,Data Scientist,2020.0,2020.0,8.0,12.0
802,136,322.0,Restaurant Supervisor,2015.0,2019.0,9.0,4.0
27,3,11.0,Data Analyst,2019.0,2019.0,5.0,12.0
355,54,141.0,Data Analyst Associate,2020.0,,10.0,
50,7,25.0,Data Analyst,2018.0,2018.0,7.0,9.0
224,44,104.0,Business intelligence analyst,2021.0,,5.0,
236,47,113.0,Jr. Business Analyst,2018.0,2019.0,1.0,8.0
521,88,211.0,Business Analyst,2020.0,2021.0,3.0,3.0
580,99,231.0,OSFI Reporting Test Lead,2019.0,2019.0,1.0,10.0
141,24,16.0,Senior Engineer,2014.0,2017.0,7.0,5.0
81,14,36.0,Tutor,2019.0,2020.0,9.0,12.0
500,86,204.0,BI Analyst,2018.0,2019.0,6.0,9.0
366,54,61.0,Marketing Operations Senior Analyst,2021.0,,3.0,
688,115,273.0,Operations Specialist,2013.0,2014.0,1.0,11.0
167,29,69.0,Business Operation Analyst,2020.0,2021.0,5.0,11.0
486,82,198.0,Assistant Manager (Order Management),2010.0,2012.0,8.0,11.0
440,75,177.0,Data Scientist,2020.0,2020.0,8.0,12.0
589,99,231.0,Anti-Money Laundering Test Lead,2013.0,2015.0,8.0,2.0
405,63,162.0,Power BI Developer,2021.0,2023.0,11.0,7.0
761,130,307.0,Data Analyst,2017.0,2018.0,10.0,7.0
203,37,91.0,Data Analyst,2020.0,2020.0,1.0,3.0
804,137,323.0,Research Assistant,2016.0,2017.0,10.0,5.0
12,1,4.0,Budget & Statistical Analyst,2014.0,2015.0,3.0,3.0
397,60,155.0,Analyst,2014.0,2015.0,9.0,9.0
586,99,231.0,OSFI Reporting Test Lead,2019.0,2019.0,1.0,10.0
657,111,266.0,QUALITY CONTROL ANALYST,2017.0,2018.0,6.0,7.0
386,59,154.0,Financial Analyst,2021.0,2021.0,12.0,12.0
529,88,209.0,,2018.0,2020.0,10.0,1.0
506,87,207.0,Data Analyst,2022.0,,3.0,
134,24,16.0,Senior Engineer,2014.0,2017.0,7.0,5.0
630,106,254.0,Software Engineer,2012.0,2014.0,10.0,11.0
344,53,138.0,Customer Service Consultant,2019.0,2020.0,1.0,11.0
573,96,228.0,Power BI Developer,2016.0,2018.0,6.0,9.0
135,24,59.0,Data Analyst,2017.0,2017.0,7.0,12.0
295,49,122.0,Data Analyst,2022.0,2022.0,1.0,7.0
599,101,241.0,Reporting/Data Analyst,2007.0,2018.0,2.0,4.0
267,48,117.0,Program Assistant,2019.0,2020.0,11.0,2.0
668,112,268.0,Data Analyst,2022.0,,9.0,
290,48,120.0,Instructor,2018.0,2018.0,9.0,12.0
480,82,198.0,Assistant Manager (Order Management),2010.0,2012.0,8.0,11.0
633,106,257.0,Consultant,2017.0,2018.0,8.0,3.0
767,131,309.0,Analyst - Risk Management Services,2016.0,2021.0,8.0,5.0
606,103,246.0,Business Analyst,2011.0,2013.0,1.0,6.0
307,50,126.0,Data Analyst Consultant,2021.0,2023.0,10.0,2.0
321,51,107.0,Senior Analyst,2014.0,2017.0,1.0,1.0
349,53,133.0,Chief Marketing Officer,2016.0,2017.0,10.0,7.0
435,72,,,,,,
149,26,64.0,Data warehouse Developer,2013.0,2018.0,3.0,12.0
437,73,,,,,,
18,2,7.0,Tableau Developer,2013.0,2014.0,5.0,1.0
439,75,176.0,Data Analyst,2018.0,2019.0,7.0,12.0
488,82,196.0,Business Process Analyst,2016.0,2019.0,8.0,8.0
723,121,288.0,Technical Analyst,2020.0,,10.0,
370,55,145.0,Research Assistant,2022.0,2022.0,5.0,8.0
693,116,276.0,Pitney Bowes Company Product Data Analyst,2017.0,2020.0,7.0,7.0
526,88,208.0,Business Operations Analyst,2016.0,2018.0,11.0,10.0
228,45,107.0,IT Analyst,2015.0,2020.0,10.0,7.0
311,50,127.0,Project manager assistant,2019.0,2020.0,3.0,4.0
383,58,152.0,Data Management Assistant,2015.0,2018.0,11.0,11.0
191,34,84.0,SQL Developer,2009.0,2010.0,7.0,11.0
147,26,63.0,Data Analyst,2021.0,,10.0,
460,78,184.0,BI Developer,2019.0,2021.0,4.0,2.0
482,82,195.0,Customer Service Representative,2021.0,2021.0,8.0,9.0
736,127,292.0,Database Design,2019.0,2019.0,1.0,4.0
687,115,255.0,Senior Operations Analyst,2018.0,2021.0,8.0,7.0
194,35,86.0,Financial Analyst,2011.0,2012.0,3.0,7.0
681,113,272.0,Business Operations Analyst,2014.0,2015.0,5.0,7.0
751,128,298.0,CUSTOMER RELATiONSHiP MANAGER,2008.0,2011.0,7.0,8.0
686,115,255.0,Senior Operations Analyst,2018.0,2021.0,8.0,7.0
626,104,249.0,Meat Clerk,2017.0,2018.0,5.0,7.0
